2023-06-25T20:38:00.610 + <0000000b>SocketSelect - Created by <0000000a>
2023-06-25T20:38:00.610 < <0000000b>SocketSelect - Received Start from <0000000a>
2023-06-25T20:38:00.610 > <0000000b>SocketSelect - Sent SocketChannel to <0000000a>
2023-06-25T20:38:00.610 _ <0000000b>SocketSelect - Listening on "127.0.0.1"(5000), requested "127.0.0.1"(5000)
2023-06-25T20:38:00.610 > <0000000b>SocketSelect - Sent Listening to <0000000a>
2023-06-25T20:38:09.794 ~ <0000000b>SocketSelect - Accepted "127.0.0.1"(45240), server at "127.0.0.1"(5000)
2023-06-25T20:38:09.794 > <0000000b>SocketSelect - Forward Accepted to <0000000a> (from <0000000d>)
2023-06-25T20:38:09.794 > <0000000b>SocketSelect - Forward Enquiry to <0000000d> (from <0000000c>)
2023-06-25T20:38:09.796 > <0000000b>SocketSelect - Forward Enquiry to <0000000d> (from <0000000c>)
2023-06-25T20:38:09.797 ~ <0000000b>SocketSelect - Accepted "127.0.0.1"(45254), server at "127.0.0.1"(5000)
2023-06-25T20:38:09.797 > <0000000b>SocketSelect - Forward Accepted to <0000000a> (from <0000000f>)
2023-06-25T20:38:09.797 > <0000000b>SocketSelect - Forward Enquiry to <0000000d> (from <0000000c>)
2023-06-25T20:38:09.797 > <0000000b>SocketSelect - Forward Enquiry to <0000000f> (from <0000000e>)
2023-06-25T20:38:09.798 ~ <0000000b>SocketSelect - Accepted "127.0.0.1"(45258), server at "127.0.0.1"(5000)
2023-06-25T20:38:09.798 > <0000000b>SocketSelect - Forward Accepted to <0000000a> (from <00000011>)
2023-06-25T20:38:09.799 > <0000000b>SocketSelect - Forward Enquiry to <0000000d> (from <0000000c>)
2023-06-25T20:38:09.799 > <0000000b>SocketSelect - Forward Enquiry to <0000000f> (from <0000000e>)
2023-06-25T20:38:09.799 > <0000000b>SocketSelect - Forward Enquiry to <00000011> (from <00000010>)
2023-06-25T20:38:09.800 ~ <0000000b>SocketSelect - Accepted "127.0.0.1"(45260), server at "127.0.0.1"(5000)
2023-06-25T20:38:09.801 > <0000000b>SocketSelect - Forward Accepted to <0000000a> (from <00000013>)
2023-06-25T20:38:09.801 > <0000000b>SocketSelect - Forward Enquiry to <0000000d> (from <0000000c>)
2023-06-25T20:38:09.801 > <0000000b>SocketSelect - Forward Enquiry to <0000000f> (from <0000000e>)
2023-06-25T20:38:09.801 > <0000000b>SocketSelect - Forward Enquiry to <00000011> (from <00000010>)
